02 Token Inválido
28 Token Inválido
26 Token Inválido
2024-02-11 12:00:10.480910 - 22 Token Inválido
2024-06-25 09:00:19.717392 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-06-25 12:00:06.402440 - \\192.42.103.17\propaganda\publicador_facebook\img\img21.png não foi encontrada
2024-06-25 18:00:05.142060 - \\192.42.103.17\propaganda\publicador_facebook\img\img03.png não foi encontrada
2024-06-25 21:00:06.478480 - \\192.42.103.17\propaganda\publicador_facebook\img\img13.png não foi encontrada
2024-06-26 09:00:13.447635 - \\192.42.103.17\propaganda\publicador_facebook\img\img22.png não foi encontrada
2024-06-26 12:00:04.947065 - \\192.42.103.17\propaganda\publicador_facebook\img\img04.png não foi encontrada
2024-06-26 18:00:04.245281 - \\192.42.103.17\propaganda\publicador_facebook\img\img14.png não foi encontrada
2024-06-26 21:00:04.091305 - \\192.42.103.17\propaganda\publicador_facebook\img\img23.png não foi encontrada
2024-06-27 09:00:12.656996 - \\192.42.103.17\propaganda\publicador_facebook\img\img05.png não foi encontrada
2024-06-27 12:00:05.074838 - \\192.42.103.17\propaganda\publicador_facebook\img\img15.png não foi encontrada
2024-06-27 18:00:04.335591 - \\192.42.103.17\propaganda\publicador_facebook\img\img24.png não foi encontrada
2024-06-27 21:00:04.030989 - \\192.42.103.17\propaganda\publicador_facebook\img\img06.png não foi encontrada
2024-06-28 09:00:09.568050 - \\192.42.103.17\propaganda\publicador_facebook\img\img16.png não foi encontrada
2024-06-28 12:00:10.827126 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-06-28 18:00:04.041332 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-06-28 21:00:04.157247 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-06-29 09:00:12.522035 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-06-29 12:00:04.832244 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
2024-06-29 18:00:05.038422 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-06-29 21:00:04.246279 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
2024-06-30 09:00:12.241469 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-06-30 12:00:04.824708 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-06-30 18:00:05.294148 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-06-30 21:00:04.880958 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-07-03 21:00:04.716094 - 34 Token Inválido
2024-07-08 10:23:14.763257 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-08-03 09:00:24.437232 - 32 Token Inválido
2024-08-27 21:00:10.481803 - 03 Token Inválido
2024-09-03 09:00:36.587048 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-09-08 09:00:14.659037 - 03 Token Inválido
2024-09-09 12:00:05.628226 - 02 Token Inválido
2024-09-13 18:00:04.461483 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-10-24 12:00:06.067086 - 20 Token Inválido
2024-10-31 09:00:13.411131 - \\192.42.103.17\propaganda\publicador_facebook\img\img05.png não foi encontrada
2024-11-04 09:00:28.948701 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-11-05 12:00:06.790832 - 37 Token Inválido
